uid,t,d,x,y
50025,29,2,124,45
50025,19,2,124,45
50025,37,2,125,45
50025,35,3,124,44
50025,14,4,124,44
50025,27,4,124,44
50025,15,4,124,45
50025,37,4,124,45
50025,41,4,124,44
50025,35,5,124,45
50025,22,5,124,45
50025,3,6,124,44
50025,39,7,124,45
50025,14,8,124,45
50025,14,9,124,44
50025,27,9,124,45
50025,17,9,124,44
50025,22,9,124,45
50025,45,9,124,44
50025,29,10,124,45
50025,39,11,124,45
50025,24,11,124,44
50025,18,12,124,45
50025,35,12,124,44
50025,39,12,124,45
50025,24,12,124,44
50025,3,13,124,44
50025,21,13,124,45
50025,24,13,124,44
50025,0,14,124,44
50025,16,14,124,45
50025,22,14,124,45
50025,13,15,124,45
50025,0,16,124,44
50025,1,16,124,44
50025,33,17,124,44
50025,18,17,124,44
50025,35,17,124,44
50025,39,17,124,45
50025,43,17,124,45
50025,45,17,124,45
50025,15,18,124,44
50025,31,18,124,44
50025,4,19,124,44
50025,14,20,124,45
50025,37,20,125,45
50025,39,20,124,45
50025,41,20,124,44
50025,41,21,124,45
50025,39,22,124,45
50025,21,22,124,45
50025,5,23,124,44
50025,21,23,124,45
50025,15,23,124,45
50025,39,23,124,45
50025,24,24,125,45
50025,0,25,125,45
50025,23,25,124,44
50026,6,1,144,53
50026,14,2,144,53
50026,3,3,144,53
50026,3,4,144,53
50026,1,5,144,54
50026,0,6,144,53
50026,3,7,144,53
50026,3,8,144,53
50026,20,9,144,53
50026,9,10,144,53
50026,9,11,144,53
50026,9,12,144,53
50026,17,13,144,53
50026,31,13,144,53
50026,10,14,144,53
50026,7,15,144,53
50026,7,16,144,53
50026,10,17,144,53
50026,10,18,144,53
50026,19,19,144,53
50026,19,20,144,53
50026,19,21,144,53
50026,27,22,144,53
50026,15,23,144,53
50026,3,24,144,53
50026,13,25,144,53
50028,23,1,119,37
50028,23,2,119,37
50028,3,3,119,37
50028,14,4,119,37
50028,35,5,119,37
50028,35,6,119,37
50028,19,7,119,37
50028,1,8,119,37
50028,15,9,119,37
50028,10,10,119,37
50028,19,11,119,37
50028,21,12,119,37
50028,19,13,119,37
50028,11,14,119,37
50028,11,15,119,37
50028,11,16,119,37
50028,12,17,119,37
50028,23,18,119,37
50028,23,19,119,37
50028,13,20,119,37
50028,22,20,119,38
50028,13,21,119,37
50028,13,22,119,37
50028,13,23,119,37
50028,13,24,119,37
50028,25,25,119,37
50032,17,1,106,110
50032,15,2,104,112
50032,2,3,104,112
50032,21,3,104,112
50032,11,4,105,112
50032,2,5,104,112
50032,20,5,105,111
50032,33,6,105,112
50032,2,7,104,112
50032,11,8,104,112
50032,41,8,104,112
50032,41,9,104,112
50032,7,10,104,112
50032,21,11,104,112
50032,14,11,104,112
50032,25,12,104,112
50032,23,13,104,112
50032,35,13,104,112
50032,25,14,104,112
50032,15,15,104,112
50032,43,15,104,112
50032,14,16,104,112
50032,29,17,104,112
50032,35,18,105,112
50032,1,19,104,112
50032,45,20,114,129
50032,3,21,104,112
50032,3,22,104,112
50032,21,23,104,112
50032,35,23,105,112
50032,5,24,104,112
50032,4,25,104,112
50035,45,1,119,38
50035,24,1,119,38
50035,0,2,118,37
50035,23,3,121,37
50035,22,4,119,38
50035,21,5,119,38
50035,23,5,118,37
50035,27,6,121,37
50035,21,7,118,37
50035,23,7,119,38
50035,16,8,121,37
50035,13,9,121,37
50035,20,10,121,37
50035,11,11,119,38
50035,23,11,119,38
50035,21,12,118,37
50035,23,13,118,37
50035,35,14,119,38
50035,21,15,118,37
50035,13,15,121,37
50035,24,15,119,38
50035,0,16,119,38
50035,29,17,121,37
50035,25,18,121,37
50035,31,19,119,38
50035,39,19,119,38
50035,24,20,119,38
50035,12,21,118,37
50035,11,22,118,37
50035,23,22,120,37
50035,25,22,118,37
50035,13,23,118,36
50035,27,23,121,37
50035,27,24,121,37
50035,25,25,118,37
50036,23,1,33,16
50036,13,1,33,16
50036,17,1,33,16
50036,33,1,33,16
50036,45,1,34,14
50036,23,2,33,16
50036,13,2,33,16
50036,37,2,33,16
50036,43,2,34,14
50036,20,3,33,16
50036,12,4,33,16
50036,9,5,33,16
50036,18,5,33,16
50036,12,6,33,16
50036,13,6,33,16
50036,10,7,33,16
50036,1,8,34,14
50036,9,9,33,16
50036,21,10,34,14
50036,17,11,33,16
50036,18,11,33,16
50036,17,12,33,16
50036,9,13,33,16
50036,23,14,33,16
50036,13,14,33,16
50036,17,15,33,16
50036,19,15,33,16
50036,9,16,33,16
50036,23,16,33,16
50036,16,16,33,16
50036,14,17,33,16
50036,10,18,33,16
50036,29,19,33,16
50036,23,20,34,14
50036,17,21,33,16
50036,29,21,33,16
50036,8,22,34,14
50036,27,22,33,16
50036,29,22,33,16
50036,16,22,33,16
50036,31,22,33,16
50036,35,23,33,16
50036,12,24,33,16
50036,24,24,34,14
50036,23,25,33,16
50036,31,25,33,16
50036,17,25,33,16
50040,17,1,40,17
50040,4,2,33,11
50040,16,3,40,17
50040,41,3,39,17
50040,23,3,39,17
50040,27,4,40,17
50040,33,5,40,17
50040,33,6,39,17
50040,41,6,39,17
50040,7,7,40,17
50040,5,7,40,17
50040,11,8,40,17
50040,3,9,33,11
50040,33,10,39,17
50040,20,11,39,17
50040,39,12,39,17
50040,45,13,39,18
50040,5,14,40,17
50040,15,15,40,17
50040,45,15,41,18
50040,15,16,39,17
50040,29,16,39,17
50040,16,16,39,17
50040,23,17,33,11
50040,41,18,33,17
50040,20,19,40,17
50040,25,20,40,17
50040,14,20,40,17
50040,27,20,39,17
50040,15,20,39,18
50040,21,20,40,17
50040,27,21,40,17
50040,41,21,40,17
50040,18,22,40,17
50040,35,22,40,17
50040,23,22,40,17
50040,5,23,40,17
50040,4,23,40,17
50040,14,23,36,17
50040,27,23,36,17
50040,17,23,39,18
50040,33,23,40,17
50040,18,23,40,17
50040,19,23,40,17
50040,17,24,40,17
50040,17,25,40,17
50047,33,1,37,15
50047,3,2,38,13
50047,23,3,37,15
50047,27,3,37,15
50047,33,3,37,15
50047,35,3,37,15
50047,20,3,37,15
50047,39,3,38,14
50047,21,3,38,14
50047,6,4,38,13
50047,35,4,38,14
50047,19,4,38,13
50047,37,4,38,13
50047,21,4,38,14
50047,23,4,38,14
50047,45,4,38,14
50047,24,4,38,14
50047,0,5,38,14
50047,1,5,38,14
50047,15,6,37,15
50047,37,6,37,15
50047,20,6,37,15
50047,39,6,37,15
50047,0,7,38,13
50047,7,7,38,13
50047,29,7,37,15
50047,5,8,38,13
50047,16,8,37,15
50047,1,9,38,13
50047,12,10,37,15
50047,29,11,37,15
50047,17,11,37,15
50047,33,11,37,15
50047,20,11,37,15
50047,39,11,37,15
50047,21,11,38,15
50047,22,11,38,14
50047,23,11,38,13
50047,4,12,38,13
50047,21,12,38,13
50047,25,12,38,14
50047,14,12,38,13
50047,31,12,37,15
50047,17,12,37,15
50047,0,13,38,13
50047,11,13,38,15
50047,25,13,37,15
50047,12,14,37,15
50047,21,15,37,15
50047,41,15,38,14
50047,21,16,38,13
50047,41,16,37,15
50047,33,17,37,15
50047,29,18,37,15
50047,16,18,37,15
50047,31,18,37,15
50047,37,18,37,15
50047,21,18,38,14
50047,35,19,37,15
50047,37,19,37,15
50047,11,20,38,14
50047,11,21,38,13
50047,16,21,37,15
50047,23,21,38,13
50047,35,22,38,14
50047,20,23,37,15
50047,24,24,38,13
50047,0,25,38,13
50050,11,1,45,6
50050,21,1,45,6
50050,33,1,45,6
50050,43,1,45,6
50050,25,2,45,6
50050,14,2,45,6
50050,27,2,45,6
50050,15,2,45,6
50050,29,2,45,6
50050,16,2,45,6
50050,17,2,45,6
50050,33,2,45,6
50050,18,2,45,6
50050,35,2,45,6
50050,19,2,45,6
50050,43,2,45,6
50050,23,2,45,6
50050,27,3,45,6
50050,15,3,45,6
50050,19,3,45,6
50050,25,4,45,6
50050,22,4,45,6
50050,43,4,45,6
50050,14,5,45,7
50050,19,5,45,7
50050,39,5,45,7
50050,22,5,45,7
50050,45,5,45,6
50050,24,5,45,6
50050,0,6,45,6
50050,1,6,45,6
50050,2,6,45,6
50050,11,6,45,6
50050,8,6,45,6
50050,25,6,45,6
50050,31,7,45,6
50050,39,7,45,6
50050,1,8,45,6
50050,16,9,44,7
50050,41,9,45,6
50050,19,10,45,7
50050,35,11,45,6
50050,35,12,45,6
50050,20,12,45,6
50050,22,13,45,7
50050,29,14,44,7
50050,16,14,44,7
50050,33,14,45,6
50050,39,15,45,6
50050,22,15,45,6
50050,19,16,45,6
50050,11,16,45,6
50050,17,16,44,7
50050,45,16,45,6
50050,31,17,45,6
50050,37,17,45,6
50050,20,17,45,6
50050,45,17,45,6
50050,24,17,45,6
50050,0,18,45,6
50050,14,18,45,6
50050,22,18,45,6
50050,43,18,45,6
50050,0,19,45,6
50050,13,20,45,6
50050,3,21,45,6
50050,10,21,45,6
50050,43,21,45,6
50050,1,22,45,6
50050,17,22,45,6
50050,35,23,45,6
50050,22,23,45,6
50050,31,24,45,7
50050,19,24,45,6
50050,20,24,45,6
50050,39,24,45,6
50050,41,24,45,6
50050,43,24,45,6
50050,14,25,45,6
50050,27,25,45,6
50056,17,1,2,57
50056,35,1,2,57
50056,31,2,2,57
50056,19,2,2,57
50056,29,3,2,57
50056,15,4,2,57
50056,17,4,2,57
50056,14,5,13,61
50056,24,5,2,57
50056,1,6,2,57
50056,3,6,2,57
50056,33,7,2,57
50056,19,8,2,57
50056,39,9,2,57
50056,22,9,1,58
50056,11,10,2,57
50056,12,10,2,57
50056,15,10,2,57
50056,18,11,2,57
50056,13,12,2,57
50056,16,12,2,57
50056,13,13,2,57
50056,25,13,2,57
50056,31,13,2,57
50056,33,13,2,57
50056,41,13,2,57
50056,0,14,2,57
50056,7,14,2,57
50056,29,14,2,57
50056,37,14,2,57
50056,13,15,2,57
50056,15,15,2,57
50056,39,16,2,57
50056,41,16,2,57
50056,3,17,1,57
50056,11,18,2,57
50056,31,19,2,57
50056,1,20,2,57
50056,11,20,2,57
50056,21,21,2,57
50056,16,21,2,57
50056,18,22,2,57
50056,24,23,2,57
50056,19,24,2,57
50056,14,25,1,57
50056,21,25,1,57
50061,19,1,53,28
50061,19,2,53,28
50061,19,3,53,28
50061,4,4,53,28
50061,35,4,53,28
50061,19,4,53,28
50061,45,4,53,28
50061,35,5,53,28
50061,23,5,53,28
50061,12,6,53,28
50061,17,6,53,28
50061,19,6,53,28
50061,19,7,53,28
50061,2,8,53,28
50061,17,9,53,28
50061,33,9,53,28
50061,18,9,53,28
50061,37,9,53,28
50061,31,10,53,28
50061,35,10,53,28
50061,24,10,53,28
50061,0,11,53,28
50061,23,12,53,28
50061,35,12,53,28
50061,0,13,53,28
50061,1,13,53,28
50061,17,13,53,28
50061,45,14,53,28
50061,1,15,53,28
50061,3,15,53,28
50061,9,15,53,28
50061,3,16,53,28
50061,1,17,53,28
50061,2,17,53,28
50061,2,18,53,28
50061,33,19,53,28
50061,1,20,53,28
50061,16,21,53,28
50061,4,22,53,28
50061,20,23,53,28
50061,1,24,53,28
50061,1,25,53,28
50061,10,25,53,28
50061,31,25,53,28
50061,17,25,53,28
50061,33,25,53,28
50062,2,1,194,93
50062,29,1,194,93
50062,15,2,194,93
50062,45,2,194,93
50062,27,3,194,93
50062,15,3,194,93
50062,43,3,194,93
50062,29,4,194,93
50062,39,4,194,93
50062,43,4,194,93
50062,23,4,194,93
50062,43,5,194,93
50062,31,6,194,93
50062,35,6,194,93
50062,19,6,194,93
50062,23,6,193,91
50062,41,7,194,93
50062,33,8,194,93
50062,23,8,194,93
50062,33,9,194,93
50062,41,9,194,93
50062,41,10,194,93
50062,23,10,194,93
50062,45,10,194,93
50062,39,11,194,93
50062,13,12,194,93
50062,16,13,194,93
50062,5,14,194,93
50062,4,14,194,93
50062,33,15,194,93
50062,43,16,194,93
50062,37,17,194,93
50062,21,17,194,93
50062,23,18,194,93
50062,13,18,194,93
50062,19,18,194,93
50062,45,18,194,93
50062,1,19,194,93
50062,18,19,194,93
50062,39,19,194,93
50062,29,20,194,93
50062,19,20,194,93
50062,23,20,194,93
50062,2,21,194,93
50062,23,21,194,93
50062,31,22,194,93
50062,3,23,194,93
50062,31,24,194,93
50062,21,24,194,93
50062,3,25,194,93
50068,21,1,200,104
50068,21,2,197,101
50068,29,3,200,104
50068,5,4,200,104
50068,33,4,199,102
50068,3,5,199,102
50068,9,6,200,104
50068,4,7,200,104
50068,33,7,200,104
50068,15,8,200,104
50068,9,9,200,104
50068,35,10,200,104
50068,9,11,200,104
50068,21,11,200,104
50068,11,12,200,104
50068,11,13,200,104
50068,31,13,199,102
50068,43,13,199,102
50068,8,14,200,104
50068,9,14,200,104
50068,15,15,200,104
50068,13,15,200,104
50068,8,16,200,104
50068,13,16,200,104
50068,8,17,200,104
50068,8,18,200,104
50068,20,18,199,102
50068,8,19,200,104
50068,16,19,200,104
50068,15,20,200,104
50068,16,20,199,102
50068,25,21,200,104
50068,15,22,200,104
50068,31,22,199,102
50068,15,23,200,104
50068,15,24,200,104
50068,12,24,200,104
50068,15,25,200,104
50075,33,1,40,17
50075,27,2,40,17
50075,16,2,40,17
50075,31,3,40,17
50075,37,3,40,17
50075,20,3,40,17
50075,24,3,40,17
50075,18,4,40,17
50075,23,4,40,17
50075,31,5,40,17
50075,35,5,40,17
50075,31,6,40,17
50075,21,7,40,17
50075,31,8,40,17
50075,17,8,40,17
50075,20,8,40,17
50075,35,9,40,17
50075,5,10,40,17
50075,17,10,40,17
50075,14,11,40,17
50075,27,11,40,17
50075,20,11,40,17
50075,31,12,40,17
50075,20,12,40,17
50075,23,12,40,17
50075,7,13,40,17
50075,19,13,40,17
50075,7,14,40,17
50075,43,15,40,18
50075,45,16,40,17
50075,14,17,40,17
50075,17,18,40,17
50075,33,18,40,17
50075,27,19,40,17
50075,39,19,40,17
50075,21,19,40,17
50075,1,20,40,17
50075,33,20,40,17
50075,16,21,40,17
50075,14,22,40,17
50075,18,22,40,17
50075,35,22,40,17
50075,13,23,40,17
50075,27,23,40,17
50075,16,24,40,17
50075,35,24,40,17
50075,20,24,40,17
50075,23,24,40,17
50075,25,25,40,17
50075,27,25,40,17
50075,15,25,40,17
50075,16,25,40,17
50075,20,25,40,17
50075,39,25,40,17
50075,41,25,40,17
50082,25,1,136,33
50082,29,2,134,34
50082,43,3,134,33
50082,19,4,134,34
50082,12,4,134,34
50082,1,5,134,34
50082,0,6,134,34
50082,9,6,134,34
50082,21,6,134,34
50082,0,7,134,34
50082,1,7,134,34
50082,14,7,134,34
50082,16,7,134,34
50082,9,8,134,34
50082,14,8,134,34
50082,16,8,134,33
50082,39,8,134,34
50082,21,8,134,34
50082,45,8,134,34
50082,10,9,134,34
50082,41,9,134,34
50082,22,9,134,34
50082,0,10,134,34
50082,1,10,134,34
50082,29,11,136,33
50082,14,12,136,33
50082,31,12,134,34
50082,19,13,134,33
50082,0,14,136,33
50082,41,15,136,33
50082,1,16,136,33
50082,17,16,135,33
50082,10,16,134,33
50082,39,16,134,34
50082,21,16,135,33
50082,17,17,136,33
50082,16,17,134,34
50082,17,18,135,33
50082,10,18,134,34
50082,15,19,136,33
50082,16,20,134,34
50082,10,21,134,34
50082,12,22,134,34
50082,27,23,136,33
50082,12,24,134,34
50082,19,25,136,33
50082,23,25,136,33
50084,23,1,62,31
50084,23,2,62,31
50084,13,3,62,31
50084,0,4,62,31
50084,12,4,62,31
50084,13,4,62,31
50084,39,4,62,31
50084,21,5,62,31
50084,21,6,62,31
50084,31,6,62,31
50084,21,7,62,31
50084,13,7,62,31
50084,23,8,62,31
50084,29,8,62,31
50084,14,9,62,31
50084,1,10,62,31
50084,14,11,62,31
50084,12,12,62,31
50084,13,12,62,31
50084,25,13,62,31
50084,21,13,62,31
50084,23,14,62,31
50084,21,15,62,31
50084,23,15,62,31
50084,24,15,62,31
50084,12,16,62,31
50084,22,16,62,31
50084,27,17,62,31
50084,11,18,62,31
50084,23,18,62,31
50084,25,18,62,31
50084,45,18,62,31
50084,25,19,62,31
50084,35,20,62,31
50084,13,21,62,31
50084,14,21,62,31
50084,15,21,62,31
50084,17,21,62,31
50084,21,22,62,31
50084,12,22,62,31
50084,29,22,62,31
50084,16,22,62,31
50084,31,22,62,31
50084,39,22,62,31
50084,23,23,62,31
50084,16,23,62,31
50084,13,24,62,31
50084,21,25,62,31
50084,12,25,62,31
50084,24,25,62,31
50086,6,1,114,34
50086,17,1,114,34
50086,9,2,114,34
50086,24,2,114,35
50086,7,3,114,34
50086,29,3,114,34
50086,19,3,114,34
50086,33,4,115,34
50086,21,4,114,34
50086,7,5,114,34
50086,29,5,113,34
50086,20,5,114,34
50086,21,5,114,34
50086,45,5,114,34
50086,27,6,113,34
50086,3,7,114,34
50086,29,7,114,34
50086,37,7,114,34
50086,4,8,114,34
50086,14,8,114,34
50086,29,8,114,34
50086,16,8,114,34
50086,16,9,114,34
50086,18,9,114,34
50086,41,9,113,34
50086,45,10,114,34
50086,1,11,113,34
50086,5,11,114,34
50086,24,11,114,34
50086,33,12,114,34
50086,22,13,114,34
50086,13,14,114,34
50086,35,14,114,34
50086,3,15,114,34
50086,20,16,114,34
50086,3,17,114,34
50086,0,18,114,34
50086,25,18,114,34
50086,25,19,114,34
50086,14,19,114,34
50086,19,19,114,34
50086,37,19,114,34
50086,29,20,114,34
50086,3,21,114,34
50086,17,21,114,34
50086,24,21,115,34
50086,0,22,114,34
50086,14,22,114,34
50086,14,23,114,34
50086,33,23,114,34
50086,37,23,114,34
50086,16,24,114,34
50086,33,24,114,34
50086,35,25,114,34
50086,41,25,114,34
50090,15,1,105,114
50090,4,2,102,111
50090,18,3,101,111
50090,27,4,103,111
50090,9,5,103,111
50090,22,6,103,111
50090,6,7,103,111
50090,5,8,103,111
50090,17,8,103,111
50090,18,9,103,111
50090,19,9,101,111
50090,27,10,103,111
50090,39,10,103,111
50090,39,11,103,111
50090,27,12,103,111
50090,15,12,103,111
50090,17,13,103,111
50090,37,14,103,111
50090,16,15,103,111
50090,13,16,103,111
50090,21,17,103,111
50090,27,18,103,111
50090,19,19,103,111
50090,23,20,103,111
50090,7,21,103,111
50090,5,22,101,111
50090,41,23,103,117
50090,15,24,103,117
50090,15,25,103,117
50092,7,1,36,20
50092,27,1,36,20
50092,37,1,35,20
50092,39,1,36,20
50092,27,2,36,20
50092,10,3,35,27
50092,15,4,36,20
50092,29,4,36,20
50092,0,5,35,27
50092,21,5,35,27
50092,29,6,35,27
50092,33,6,36,20
50092,35,6,36,20
50092,20,6,36,20
50092,31,7,36,20
50092,21,8,36,20
50092,24,8,35,19
50092,0,9,35,19
50092,1,9,35,19
50092,12,9,36,20
50092,21,10,36,20
50092,24,10,36,20
50092,12,11,36,20
50092,21,12,36,20
50092,21,13,36,20
50092,16,14,36,20
50092,31,14,36,20
50092,17,14,36,20
50092,33,14,36,20
50092,18,14,36,20
50092,23,15,36,20
50092,41,15,36,20
50092,17,16,36,20
50092,41,17,35,27
50092,23,18,35,27
50092,22,19,36,20
50092,16,20,36,20
50092,22,20,36,20
50092,16,21,36,20
50092,31,21,36,20
50092,33,22,36,20
50092,18,22,36,20
50092,22,22,35,27
50092,22,23,36,20
50092,1,24,36,20
50092,29,24,36,20
50092,22,24,36,20
50092,0,25,36,20
50092,1,25,36,20
50092,45,25,36,20
50095,13,1,14,43
50095,13,2,14,43
50095,13,3,14,43
50095,17,3,14,42
50095,8,4,14,43
50095,2,5,14,43
50095,15,5,14,43
50095,43,5,14,43
50095,8,6,14,43
50095,8,7,14,43
50095,15,7,14,43
50095,20,7,14,43
50095,33,8,14,43
50095,22,8,14,42
50095,15,9,14,43
50095,13,9,14,43
50095,14,10,14,43
50095,21,11,14,43
50095,15,12,14,43
50095,9,13,14,43
50095,9,14,14,43
50095,27,14,15,43
50095,20,15,14,43
50095,22,15,14,43
50095,14,16,15,43
50095,17,16,15,43
50095,18,16,15,43
50095,33,17,14,43
50095,31,18,14,43
50095,41,18,14,42
50095,22,18,14,43
50095,33,19,14,43
50095,22,19,15,43
50095,23,20,14,43
50095,33,21,14,43
50095,33,22,14,43
50095,21,23,14,43
50095,22,23,14,43
50095,23,23,15,43
50095,11,24,14,43
50095,23,24,15,43
50095,33,24,14,43
50095,37,24,14,43
50095,20,24,14,43
50095,1,25,14,43
50096,41,1,33,19
50096,15,2,33,19
50096,41,3,33,19
50096,1,4,33,19
50096,5,5,33,19
50096,4,5,33,19
50096,24,5,33,19
50096,7,6,33,19
50096,16,7,33,19
50096,2,8,33,19
50096,31,9,33,19
50096,2,10,33,19
50096,1,11,33,19
50096,2,11,33,19
50096,5,12,33,19
50096,0,13,33,19
50096,23,14,33,19
50096,1,15,33,19
50096,31,16,33,19
50096,43,17,33,19
50096,45,18,33,19
50096,3,19,33,19
50096,1,20,33,19
50096,43,21,33,19
50096,45,21,33,19
50096,1,22,33,19
50096,18,23,33,19
50096,29,24,33,19
50096,24,24,33,19
50096,5,25,33,19
50098,14,1,38,16
50098,27,2,38,15
50098,27,3,38,15
50098,12,4,38,15
50098,29,5,38,15
50098,27,6,38,15
50098,13,7,38,15
50098,29,7,38,15
50098,25,8,38,15
50098,33,9,39,14
50098,23,10,38,15
50098,27,11,38,15
50098,17,11,38,15
50098,16,12,38,15
50098,14,13,38,15
50098,33,13,38,15
50098,14,14,37,16
50098,12,15,38,15
50098,25,15,37,15
50098,16,16,38,15
50098,18,17,38,15
50098,33,18,38,15
50098,17,19,38,15
50098,25,20,38,15
50098,33,20,38,15
50098,18,20,39,16
50098,17,21,38,15
50098,16,22,38,15
50098,14,23,37,15
50098,16,24,38,15
50098,27,25,38,15
50098,31,25,38,15
50108,14,1,34,14
50108,18,2,34,14
50108,45,2,34,14
50108,1,3,34,14
50108,22,4,34,14
50108,3,5,34,14
50108,31,6,34,14
50108,7,7,34,14
50108,19,8,34,14
50108,33,9,34,14
50108,24,10,34,14
50108,15,11,34,14
50108,29,11,34,14
50108,39,11,34,14
50108,21,11,34,14
50108,14,12,34,14
50108,18,12,34,14
50108,19,13,35,14
50108,0,14,34,14
50108,1,14,34,14
50108,43,14,34,14
50108,45,14,34,14
50108,27,15,33,14
50108,15,15,33,14
50108,16,15,34,14
50108,33,15,34,14
50108,18,15,34,14
50108,35,15,34,14
50108,24,15,34,14
50108,29,16,34,14
50108,23,16,34,14
50108,24,16,34,14
50108,1,17,34,14
50108,2,17,34,14
50108,21,17,34,14
50108,14,17,34,14
50108,27,17,34,14
50108,0,18,34,14
50108,37,19,34,14
50108,4,20,34,14
50108,45,20,34,14
50108,15,21,34,14
50108,45,21,34,14
50108,13,22,34,14
50108,27,23,34,14
50108,18,23,34,14
50108,37,24,34,14
50108,17,25,34,14
50108,37,25,34,14
50108,20,25,34,14
50108,24,25,34,14
50118,22,1,40,17
50118,31,2,40,17
50118,24,3,40,17
50118,9,4,40,17
50118,13,4,40,17
50118,6,5,40,17
50118,39,6,39,19
50118,37,7,36,18
50118,21,7,39,18
50118,20,8,40,17
50118,39,8,40,17
50118,2,9,40,17
50118,2,10,40,17
50118,39,10,40,18
50118,18,11,40,17
50118,29,12,40,18
50118,20,13,40,18
50118,29,14,40,17
50118,5,15,40,17
50118,23,16,38,18
50118,31,16,36,18
50118,5,17,40,17
50118,43,18,40,17
50118,37,19,41,18
50118,23,20,40,17
50118,45,21,40,17
50118,1,22,40,17
50118,1,23,40,17
50118,31,24,40,17
50118,24,24,40,17
50118,27,25,35,17
50129,27,1,42,19
50129,1,2,42,19
50129,14,3,42,19
50129,21,3,33,18
50129,7,4,42,19
50129,45,4,33,18
50129,23,5,42,19
50129,3,6,42,19
50129,25,6,42,19
50129,33,7,34,18
50129,29,8,39,19
50129,25,9,42,19
50129,24,10,33,18
50129,2,11,42,19
50129,27,12,42,19
50129,0,13,34,18
50129,13,14,42,19
50129,29,15,42,19
50129,14,16,42,19
50129,25,17,42,19
50129,27,17,42,19
50129,25,18,42,19
50129,27,19,42,19
50129,43,20,42,19
50129,29,21,42,19
50129,1,22,42,19
50129,17,22,42,19
50129,15,23,42,19
50129,3,24,42,19
50129,33,25,41,19
